id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
P0001,Poets,Sylvia Paskin,C,Relationships,Audience,"What you write is very specific to you, but on the other hand, why do people enjoy reading poetry? They want to read a poem because it speaks to them.",7,258,1
P0002,Poets,Clive Wilmer,C,Relationships,Audience,"[Donald Davie:] Poetry is not about addressing the audience, but about addressing the subject.",55,258,2
P0003,Poets,Alan Corkish,C,Relationships,Audience,…the impact of this [life] beautiful … is private and personal … no point in trying to explain it to you or to anyone else.,36,258,3
P0004,Poets,Sylvia Paskin,C,Relationships,Audience,On the one hand the emotion in the poem is private. On the other hand it is something that anyone can read and understand.,19,258,4
P0005,Poets,Clive Wilmer,C,Relationships,Audience,The reader should be moved by the poem just as the poet was moved by the experience… something intrinsic in the experience that is going to get to the reader.,55,258,5
P0006,Poets,Sylvia Paskin,C,Relationships,Audience,"There is a lot self-identification in poetry, and it is important for people to say that this is their work.",28,258,6
P0007,Poets,Sylvia Paskin,C,Relationships,Audience,"With a poem it is very easy with just a few lines to reveal yourself, unlike a book which is made of thousands of lines.",29,258,7
P0008,Poets,Sylvia Paskin,C,Identity,Authority,"It is always the author of the poem who speaks. Even if you write about a forest, it is you who speaks from your poem. The forest is not coming your way…",28,258,8
P0009,Poets,Alan Corkish,A,World & Place,Beauty,… while walking I concentrated on the sheer beauty of ‘now’…,24,258,9
P0010,Poets,Alan Corkish,A,World & Place,Beauty,"... I’m an anti-theist… But, life is so beautiful…",28,258,10
P0011,Poets,Alan Corkish,A,World & Place,Beauty,…the impact of this [life] beautiful…,36,258,11
P0012,Poets,Anne Stevenson,C,Relationships,Collaboration,"… there are connections between you, or what you call you, and your experience, and your feelings about things and words, and so forth, that no analytical psychologist can explain.",9,259,12
P0013,Poets,Sylvia Paskin,C,Relationships,Collaboration,And around this set of feelings you find yourself writing about it.,2,259,13
P0014,Poets,Myra Schneider,C,Relationships,Collaboration,"[writing poem] is a mix of imagination, flow-writing, association and… logic.",20,259,14
P0015,Poets,Clive Wilmer,C,Relationships,Collaboration,"[Donald Davie:] Poetry is not about addressing the audience, but about addressing the subject.",55,259,15
P0016,Poets,Alan Corkish,C,Relationships,Collaboration,A poem needs crafting…,8,259,16
P0017,Poets,Anne Stevenson,C,Relationships,Collaboration,[group work in workshop]… lost their individuality. A gifted poet has to find his or her own way…,14,259,17
P0018,Poets,Sylvia Paskin,C,Relationships,Collaboration,"…you can’t understand how it got from a lot of different feelings, different emotions, to a finished poem.",2,259,18
P0019,Poets,Myra Schneider,C,Relationships,Collaboration,Writing… helps … sort out ideas… crystallising thoughts and emotions… outside you… you can understand it much better. You have partly separated yourself.,24,259,19
P0020,Poets,Clive Wilmer,C,Relationships,Collaboration,"… poet had a duty to what exists, to the nature of reality…",57,259,20
P0021,Poets,Alan Corkish,C,Relationships,Collaboration,"… true poet uses wit, experience, passion, intellect, even genius to sculpt it into shape.",14,259,21
P0022,Poets,Sylvia Paskin,C,Relationships,Collaboration,Joseph Brodsky…said: ‘It is not poets who create language; it is language which creates poets.’,13,259,22
